Image,Description
543.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
268.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
637.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
607.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
386.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
151.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
597.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
149.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape rough. "
676.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
212.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
618.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
718.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
600.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
305.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
700.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
437.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
633.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
530.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
767.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
594.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
261.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
516.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
681.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
582.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
27.jpg,"In this image, 1 wounds are detected. The 1st wound is located in center, with size small and shape round. "
254.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
486.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size medium and shape round. "
377.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
494.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
18.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
0.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
704.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size medium and shape round. "
392.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
168.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size medium and shape rough. "
577.jpg,"In this image, 1 wounds are detected. The 1st wound is located in top, with size small and shape round. "
330.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
719.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
8.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
586.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape rough. "
255.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
429.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
740.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape rough. "
648.jpg,"In this image, 1 wounds are detected. The 1st wound is located in left, with size small and shape round. "
753.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape rough. "
252.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
340.jpg,"In this image, 1 wounds are detected. The 1st wound is located in right, with size small and shape round. "
109.jpg,"In this image, 1 wounds are detected. The 1st wound is located in bottom, with size small and shape round. "
